timestamp,device_id,ied,object_reference,functional_constraint,value,unit,quality
2026-09-08T16:01:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1477.9,r/min,good
2026-09-08T16:01:52.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,89.9,°C,good
2026-09-08T16:01:52.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.13,mm/s,good
2026-09-08T16:01:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,20.11,MPa,good
2026-09-08T16:01:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,35.53,L/h,good
2026-09-08T16:01:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,216.96,kW,good
2026-09-08T16:02:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1482.3,r/min,good
2026-09-08T16:02:22.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,89.8,°C,good
2026-09-08T16:02:22.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.09,mm/s,good
2026-09-08T16:02:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,19.94,MPa,good
2026-09-08T16:02:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,35,L/h,good
2026-09-08T16:02:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,215.45,kW,good
2026-09-08T16:02:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1485.8,r/min,good
2026-09-08T16:02:52.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,89.7,°C,good
2026-09-08T16:02:52.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.05,mm/s,good
2026-09-08T16:02:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,19.77,MPa,good
2026-09-08T16:02:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,34.48,L/h,good
2026-09-08T16:02:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,214.22,kW,good
